SourceEntity.property,DestinationEntity.property,Source Arrow,Destination Arrow
Meme,TagAssignment,One,Many
User,TagAssignment,One,Many
Tag,TagAssignment,One,Many
Meme.user,User._id,One,Many
Meme._id,Comment._id,Many,One
Comment.meme,Meme._id,One,Many
Rating._id,Meme._id,One,Many
Notifications.meme,Meme._id,One,Many
Comment._id,User._id,One,Many
Notifications.user,User._id,One,Many
Notifications.fromUser,User._id,One,Many
Meme.user,User._id,One,Many
Membership,User._id,One,Many
User._id,Favorite.-id,Many,One
User_.id,Rating._id,Many,One
Tag._id,,,
Tag.name,,,
Tag.user,,,
Tag.meme,,,
Rating.meme,,,
Rating.user,,,
Rating.value,,,
Favorite._id,User._id,One,Many
Favorite.user,,,
Favorite.meme,,,
Comment,Comment.parent,Many,One
Comment.user,,,
Comment._id,Meme._id,One,Many
Comment.content,,,
Notifications.comment,Comment._id,One,Many
Membership._id,,,
Membership.user,,,
Membership.role,,,
User.username,,,
User.email,,,
User.isMember,,,
user.passwordHash,,,
Meme.title,,,
Meme.imageURL,,,
Meme.mediaURL,,,
Meme.images,,,
Meme.rating,,,
Meme.caption,,,
Meme.isDraft,,,
Notifications._id,,,
Notifications.type,,,
Notifications.isRead,,,
